Date,S&P 500 ,NASDAQ ,RUSSELL 2000,DOW JONES,FTSE 100,CAC 40,SMI,IBEX 35,FTSE MIB ,ATHEX ,DAX,MEXICO BOLSA ,BRAZIL BOVESPA ,S&P/TSX 60 INDEX,NIFTY 500,NIKKEI 225 ,HANG SENG,SHANGHAI SE A SHARE,S&P/ASX 200,KOREA SE COMPOSITE (KOSPI)
2015-10-02,1740.5762197841404,4199.250735884399,993.7739719917937,14693.051467308895,8302.268571815535,4458.88,7790.247918763152,9603.6,21395.29,640.99,9553.07,2274.7507018247975,10671.475246176884,532.2206391207002,90.80918915206038,131.87850154384137,2460.932600984094,448.7665618684033,3176.469552642334,1.4926341315550167
2015-10-05,1776.4516561619955,4274.516114612668,1020.6427964775827,14998.372893478165,8528.76582492722,4616.9,7997.8314575898985,9971.3,21980.08,667.09,9814.79,2318.9548119582373,10876.202771716156,542.6736360220013,93.18608237725847,133.6313641086537,2515.2060950977966,449.7291671062163,3261.6876701918814,1.494225525518721
2015-10-06,1756.5718848423014,4212.713480903162,1005.8022445992104,14896.145144834314,8545.400513305416,4660.64,8035.2898019075565,10103.3,22182.65,670.69,9902.83,2320.9238638179977,10988.998365524069,544.5956983392323,92.88473374839097,134.1751512468644,2501.016141412058,446.29853996259175,3285.1635462029944,1.5177495844706388
2015-10-07,1776.3606426060253,4264.296203996261,1025.8555471496593,15052.547728182992,8639.102869997954,4667.34,7916.274168422983,10170.0,22007.34,680.1,9970.4,2342.824996458933,11209.368196713798,554.5482430728332,93.73622975367344,135.88179020356705,2585.3735833457727,447.7265503021137,3334.4266606793467,1.5278516205202421
2015-10-08,1785.1139285397644,4265.262877914709,1031.3325649437008,15117.253302597748,8675.585193249863,4675.91,7955.034849596478,10181.2,22156.74,678.05,9993.07,2374.113685280982,11506.021696853255,558.3994551336625,92.92698450213341,134.11081540622456,2557.7261259818197,459.428415933464,3353.7577239958805,1.5419319865011376
2015-10-09,1773.9830956154256,4252.923049832718,1026.0257087515408,15041.81193872161,8645.368187024187,4701.39,7943.818065342728,10309.6,22257.89,676.93,10096.6,2377.676355484305,11534.807766490936,556.7580436704986,92.81991151515592,134.97800226931665,2552.1798667022736,462.6133107625279,3409.77008524929,1.5419319865011376
2015-10-12,1776.6368720003522,4261.054114746158,1025.4061908326362,15086.838976707322,8609.702702702703,4688.7,7966.791727672036,10246.4,22091.27,680.75,10119.83,2370.868031127031,11543.578765120143,554.5888809838398,92.45023634777273,135.27508161842925,2579.0451229336145,479.5763290204871,3392.5657233621832,1.534595443952724
2015-10-13,1760.8665084805345,4215.317690482468,1008.7353897530539,15011.767290623078,8496.021433355658,4643.38,7925.494505494505,10115.3,22048.49,678.3,10032.82,2337.4634426778553,10687.963171909554,546.7672922071358,91.76533744176804,133.8034928089228,2564.009302853253,477.8427990551596,3311.3874745417515,1.549349274072255
2015-10-14,1738.1269882773347,4168.605917984922,990.9530657602301,14751.165729725019,8457.588021044112,4609.03,7869.753993023683,10037.6,21838.2,676.13,9915.85,2331.360041987774,10680.089628681179,548.3240693953175,91.36433193991837,131.22341205809008,2531.878212107707,469.1582510074763,3306.769739772221,1.538070016991443
2015-10-15,1777.9671439866465,4278.397610471756,1021.4969691645435,15059.079328823684,8607.645301466593,4675.29,7995.334010902708,10101.7,22217.69,694.48,10064.8,2363.091837051918,10906.833950046253,553.6754412919527,92.68054617693618,133.7192891713156,2593.6925962230366,483.9622641509433,3367.1611137936584,1.540659523845606
2015-10-16,1791.8388930507206,4306.7818269951085,1024.3775613625348,15172.934385052662,8676.424976193715,4702.79,8054.458922465576,10231.5,22337.66,685.95,10104.43,2380.218781470157,10607.702672355716,555.415230228351,93.58872448490953,134.96993174691016,2616.178605452978,492.7687676022142,3371.5445905731017,1.5744185866168294
2015-10-19,1795.409199258409,4330.776021894588,1027.8979429681292,15211.918425002206,8673.306936100491,4704.07,8042.180138568129,10207.3,22419.68,685.11,10164.31,2384.328012514198,10782.499318243794,548.6906377204884,93.93903122586829,133.99275763958173,2632.624283391803,492.48214149351963,3374.124087591241,1.5838345542059649
2015-10-20,1789.9343351989778,4302.119783173946,1025.3140011458288,15175.276541360012,8634.59209362455,4673.81,7992.2572299732055,10100.6,22270.11,693.1,10147.68,2375.8119094236827,10618.131992060627,552.2099259963337,93.6262912894022,133.89087031657903,2615.2197530302433,498.02319689597493,3350.0143967751223,1.5997489802321934
2015-10-21,1780.5273833671401,4268.559837728195,1009.7451274362819,15141.202927947792,8633.195077174136,4695.1,7919.462345792673,10157.5,22172.64,698.93,10238.1,2352.2858319822685,10522.327511942987,540.4973655065946,93.35144921838622,136.4184986398059,2612.3965204743154,483.10632682825195,3337.660974911762,1.5924081219065436
2015-10-22,1848.0259307612664,4429.88340161167,1039.499392247783,15746.778913249,8838.145401621732,4802.18,8105.616526791478,10365.4,22616.9,710.22,10491.97,2438.4603616057525,11004.10936816161,560.6920510439238,95.7254484918553,137.54006266786035,2641.251177820555,499.6400223746911,3415.9706674454073,1.5765520036160163
2015-10-23,1883.503517131836,4567.152257771727,1058.3707737690038,16016.972997503972,8956.9532281604,4923.64,8271.92721871519,10476.3,22736.86,712.49,10794.54,2461.9854732144954,11132.142857142857,565.3061224489796,96.69236882824877,140.67102559312536,2707.75006578755,510.9082071735929,3504.6254092992795,1.6152244642701645
2015-10-26,1873.269117713562,4553.610998055442,1048.7043820377153,15939.085605752272,8908.815771206442,4897.13,8213.037064355523,10478.3,22629.64,718.04,10801.34,2463.7598545700425,10931.499426904242,558.2548305026473,95.88552948797663,141.51786981364606,2699.6607358703204,511.347873127954,3506.4175190139003,1.6482745300025754
2015-10-27,1869.8375345069464,4552.789971489342,1036.6022536995972,15912.956509933474,8812.50173058286,4847.07,8131.128261668504,10322.4,22369.92,727.38,10692.19,2445.474166819402,10950.534806038244,551.4088831275159,95.5024485941791,141.07468069120964,2702.374516134682,512.420238341157,3480.1119645879444,1.6309055667669041
2015-10-28,1914.1522824046517,4666.169131450025,1079.3644979625476,16280.866260702349,8996.36668529905,4890.58,8195.082568807338,10421.9,22686.24,727.38,10831.96,2462.380758708405,10948.257890730221,568.1382757184507,96.26253701492377,142.9393927936784,2676.8856731402716,509.0157820464822,3476.278872780583,1.6358925482155444
2015-10-29,1903.5302692114972,4622.848813374027,1061.932309934861,16176.194597549309,8921.467429209095,4885.82,8241.11693808078,10397.2,22442.69,715.77,10800.84,2444.8802723860726,10794.627331764037,563.0792640752525,94.44379285451755,142.41659145607701,2686.4212936529893,508.42213129438403,3392.8270042194094,1.6432876092611446
2015-10-30,1889.3825814365548,4592.0221707328155,1055.7085093816727,16049.738766980148,8917.83260900042,4897.66,8211.897106109323,10360.7,22442.51,701.22,10850.14,2452.9248242197823,10807.53979006397,551.9974987841312,93.76182508619637,143.7467515347821,2644.5092072910766,509.41409957718525,3398.921829386961,1.617416876534158
2015-11-02,1910.167952791648,4654.698138901498,1076.7952791647754,16185.891965501587,8901.979990204996,4916.21,8230.708298793405,10418.2,22482.39,722.8,10950.67,2458.8624242969577,10811.7430760165,554.8208220697303,93.34360462491333,140.4332531569453,2615.7976589997547,498.6920934096231,3350.4669866389936,1.6208656870943337
2015-11-03,1923.6744928196947,4691.25142466378,1086.46455436517,16337.497150672445,8976.46066230753,4936.18,8232.448866777226,10465.2,22459.45,718.14,10951.15,2521.8374021531586,11618.25171359147,561.931024853393,93.93500635359912,140.7082391926495,2658.878763423442,499.7942179562821,3433.074503636721,1.6309047046552918
2015-11-04,1935.3831990794017,4734.158803222094,1095.8619102416574,16448.856156501726,9080.826961200793,4948.29,8299.425180789913,10473.5,22312.63,708.59,10845.24,2524.688414453986,11553.620942256232,562.0524307864617,94.58946009863475,143.29340954688269,2738.5553833086838,526.2440809923598,3448.763527515542,1.651995815226139
